"","gene_short_name","num_cells_expressed","use_for_ordering"
"LYVE1","LYVE1",279,TRUE
"RPS13","RPS13",192,TRUE
"HPS5","HPS5",206,TRUE
"GTF2H1","GTF2H1",242,TRUE
"TSG101","TSG101",340,TRUE
"UEVLD","UEVLD",238,TRUE
"EIF3M","EIF3M",204,TRUE
"LMO2","LMO2",250,TRUE
"SLC1A2","SLC1A2",561,TRUE
"DDB2","DDB2",365,TRUE
"SPI1","SPI1",467,TRUE
"AC090559.1","AC090559.1",211,TRUE
"SELENOH","SELENOH",242,TRUE
"OSBP","OSBP",229,TRUE
"MS4A6A","MS4A6A",248,TRUE
"MS4A7","MS4A7",571,TRUE
"DDB1","DDB1",283,TRUE
"CPSF7","CPSF7",333,TRUE
"FTH1","FTH1",1256,TRUE
"EEF1G","EEF1G",242,TRUE
"GANAB","GANAB",221,TRUE
"BSCL2","BSCL2",247,TRUE
"HNRNPUL2","HNRNPUL2",212,TRUE
"STX5","STX5",311,TRUE
"NAA40","NAA40",261,TRUE
"STIP1","STIP1",210,TRUE
"CCDC88B","CCDC88B",366,TRUE
"RPS6KA4","RPS6KA4",266,TRUE
"FAU","FAU",307,TRUE
"LTBP3","LTBP3",277,TRUE
"EHBP1L1","EHBP1L1",399,TRUE
"SIPA1","SIPA1",292,TRUE
"CFL1","CFL1",394,TRUE
"CCDC85B","CCDC85B",222,TRUE
"CCS","CCS",209,TRUE
"GRK2","GRK2",499,TRUE
"ANKRD13D","ANKRD13D",399,TRUE
"POLD4","POLD4",190,TRUE
"NDUFV1","NDUFV1",334,TRUE
"ACY3","ACY3",204,TRUE
"UNC93B1","UNC93B1",278,TRUE
"CCND1","CCND1",271,TRUE
"AP002336.2","AP002336.2",206,TRUE
"NADSYN1","NADSYN1",269,TRUE
"INPPL1","INPPL1",328,TRUE
"ATG16L2","ATG16L2",449,TRUE
"PGM2L1","PGM2L1",280,TRUE
"SPCS2","SPCS2",314,TRUE
"RPS3","RPS3",399,TRUE
"AP003086.1","AP003086.1",443,TRUE
"PRCP","PRCP",215,TRUE
"PCF11","PCF11",428,TRUE
"CREBZF","CREBZF",250,TRUE
"CTSC","CTSC",444,TRUE
"CEP295","CEP295",217,TRUE
"TAF1D","TAF1D",440,TRUE
"CEP57","CEP57",294,TRUE
"CCDC82","CCDC82",233,TRUE
"EXPH5","EXPH5",210,TRUE
"RDX","RDX",516,TRUE
"BCO2","BCO2",599,TRUE
"PTS","PTS",271,TRUE
"FXYD6","FXYD6",302,TRUE
"IL10RA","IL10RA",429,TRUE
"ATP5MG","ATP5MG",250,TRUE
"RPS25","RPS25",512,TRUE
"THY1","THY1",338,TRUE
"HSPA8","HSPA8",219,TRUE
"TBRG1","TBRG1",415,TRUE
"NRGN","NRGN",758,TRUE
"FEZ1","FEZ1",261,TRUE
"CCND2","CCND2",354,TRUE
"TIGAR","TIGAR",314,TRUE
"GAPDH","GAPDH",655,TRUE
"TPI1","TPI1",246,TRUE
"ENO2","ENO2",309,TRUE
"ATN1","ATN1",234,TRUE
"CLSTN3","CLSTN3",225,TRUE
"SLC2A3","SLC2A3",194,TRUE
"C3AR1","C3AR1",196,TRUE
"AC092821.3","AC092821.3",197,TRUE
"CLEC2D","CLEC2D",481,TRUE
"CLEC9A","CLEC9A",194,TRUE
"CLEC7A","CLEC7A",413,TRUE
"OLR1","OLR1",691,TRUE
"GABARAPL1","GABARAPL1",200,TRUE
"KRAS","KRAS",236,TRUE
"SSPN","SSPN",250,TRUE
"LRRK2","LRRK2",456,TRUE
"GXYLT1","GXYLT1",218,TRUE
"PUS7L","PUS7L",216,TRUE
"AC008014.1","AC008014.1",606,TRUE
"PCED1B","PCED1B",666,TRUE
"PCED1B-AS1","PCED1B-AS1",229,TRUE
"HDAC7","HDAC7",297,TRUE
"CCNT1","CCNT1",224,TRUE
"ARF3","ARF3",266,TRUE
"TUBA1B","TUBA1B",816,TRUE
"TUBA1A","TUBA1A",410,TRUE
"FAIM2","FAIM2",349,TRUE
"AC074032.1","AC074032.1",227,TRUE
"LETMD1","LETMD1",217,TRUE
"PFDN5","PFDN5",316,TRUE
"ATP5MC2","ATP5MC2",310,TRUE
"HNRNPA1","HNRNPA1",352,TRUE
"CD63","CD63",229,TRUE
"RPS26","RPS26",196,TRUE
"RPL41","RPL41",778,TRUE
"MYL6","MYL6",269,TRUE
"SMARCC2","SMARCC2",234,TRUE
"STAT2","STAT2",284,TRUE
"ATP5F1B","ATP5F1B",327,TRUE
"NACA","NACA",399,TRUE
"STAT6","STAT6",367,TRUE
"KIF5A","KIF5A",240,TRUE
"OS9","OS9",323,TRUE
"TBC1D30","TBC1D30",200,TRUE
"LEMD3","LEMD3",412,TRUE
"HELB","HELB",222,TRUE
"NUP107","NUP107",247,TRUE
"AC025159.1","AC025159.1",317,TRUE
"GLIPR1","GLIPR1",308,TRUE
"TMTC3","TMTC3",204,TRUE
"BTG1","BTG1",328,TRUE
"LINC02391","LINC02391",419,TRUE
"NUDT4","NUDT4",198,TRUE
"METAP2","METAP2",305,TRUE
"SLC25A3","SLC25A3",284,TRUE
"IKBIP","IKBIP",196,TRUE
"WASHC3","WASHC3",299,TRUE
"HSP90B1","HSP90B1",395,TRUE
"CMKLR1","CMKLR1",481,TRUE
"ISCU","ISCU",208,TRUE
"TMEM119","TMEM119",249,TRUE
"SELPLG","SELPLG",511,TRUE
"ANAPC7","ANAPC7",226,TRUE
"PPP1CC","PPP1CC",213,TRUE
"ACAD10","ACAD10",309,TRUE
"RPL6","RPL6",356,TRUE
"SLC8B1","SLC8B1",296,TRUE
"FBXO21","FBXO21",319,TRUE
"WSB2","WSB2",254,TRUE
"RAB35","RAB35",210,TRUE
"GCN1","GCN1",222,TRUE
"RPLP0","RPLP0",217,TRUE
"COX6A1","COX6A1",243,TRUE
"DYNLL1","DYNLL1",388,TRUE
"CABP1","CABP1",283,TRUE
"RNF34","RNF34",260,TRUE
"ARL6IP4","ARL6IP4",294,TRUE
"RILPL2","RILPL2",300,TRUE
"UBC","UBC",530,TRUE
"BRI3BP","BRI3BP",275,TRUE
"ANKLE2","ANKLE2",248,TRUE
"MPHOSPH8","MPHOSPH8",485,TRUE
"NUP58","NUP58",319,TRUE
"RPL21","RPL21",473,TRUE
"MTIF3","MTIF3",276,TRUE
"POLR1D","POLR1D",197,TRUE
"POMP","POMP",218,TRUE
"ALOX5AP","ALOX5AP",244,TRUE
"HSPH1","HSPH1",408,TRUE
"RFC3","RFC3",269,TRUE
"UFM1","UFM1",226,TRUE
"TPT1","TPT1",580,TRUE
"LCP1","LCP1",295,TRUE
"PHF11","PHF11",299,TRUE
"TRIM13","TRIM13",314,TRUE
"DLEU7","DLEU7",270,TRUE
"KCTD12","KCTD12",495,TRUE
"FBXL3","FBXL3",243,TRUE
"GPC5","GPC5",438,TRUE
"GPR183","GPR183",221,TRUE
"CLYBL","CLYBL",376,TRUE
"ERCC5","ERCC5",256,TRUE
"TNFSF13B","TNFSF13B",247,TRUE
"GAS6-AS1","GAS6-AS1",181,TRUE
"GAS6","GAS6",346,TRUE
"NDRG2","NDRG2",430,TRUE
"ARHGEF40","ARHGEF40",325,TRUE
"SUPT16H","SUPT16H",237,TRUE
"SLC7A8","SLC7A8",284,TRUE
"SLC22A17","SLC22A17",250,TRUE
"NEDD8","NEDD8",220,TRUE
"AP4S1","AP4S1",272,TRUE
"EAPP","EAPP",202,TRUE
"NFKBIA","NFKBIA",255,TRUE
"SEC23A","SEC23A",356,TRUE
"PNN","PNN",275,TRUE
"RPS29","RPS29",362,TRUE
"RPL36AL","RPL36AL",179,TRUE
"PYGL","PYGL",247,TRUE
"ERO1A","ERO1A",254,TRUE
"MAPK1IP1L","MAPK1IP1L",303,TRUE
"ATG14","ATG14",231,TRUE
"PRKCH","PRKCH",616,TRUE
"HIF1A","HIF1A",662,TRUE
"CHURC1","CHURC1",244,TRUE
"SRSF5","SRSF5",744,TRUE
"LIN52","LIN52",359,TRUE
"NPC2","NPC2",176,TRUE
"TMED10","TMED10",332,TRUE
"FOS","FOS",188,TRUE
"TMED8","TMED8",244,TRUE
"SLIRP","SLIRP",241,TRUE
"SNW1","SNW1",246,TRUE
"AC007262.2","AC007262.2",369,TRUE
"STON2","STON2",349,TRUE
"LINC02328","LINC02328",406,TRUE
"NDUFB1","NDUFB1",202,TRUE
"LGMN","LGMN",485,TRUE
"DDX24","DDX24",288,TRUE
"MEG3","MEG3",1099,TRUE
"HSP90AA1","HSP90AA1",1088,TRUE
"EIF5","EIF5",343,TRUE
"CKB","CKB",702,TRUE
"PPP1R13B","PPP1R13B",329,TRUE
"ATP5MPL","ATP5MPL",280,TRUE
"PLD4","PLD4",241,TRUE
"SNRPN","SNRPN",422,TRUE
"FAN1","FAN1",210,TRUE
"SRP14","SRP14",235,TRUE
"PLCB2","PLCB2",438,TRUE
"CHP1","CHP1",214,TRUE
"RTF1","RTF1",276,TRUE
"SNAP23","SNAP23",327,TRUE
"TMEM62","TMEM62",253,TRUE
"MAP1A","MAP1A",267,TRUE
"PDIA3","PDIA3",359,TRUE
"SERF2","SERF2",378,TRUE
"B2M","B2M",688,TRUE
"GATM","GATM",319,TRUE
"MYEF2","MYEF2",320,TRUE
"DUT","DUT",404,TRUE
"EID1","EID1",266,TRUE
"DTWD1","DTWD1",241,TRUE
"GABPB1","GABPB1",197,TRUE
"USP8","USP8",414,TRUE
"ARPP19","ARPP19",562,TRUE
"CCPG1","CCPG1",394,TRUE
"MYO1E","MYO1E",455,TRUE
"BNIP2","BNIP2",249,TRUE
"RAB8B","RAB8B",493,TRUE
"CIAO2A","CIAO2A",199,TRUE
"OAZ2","OAZ2",259,TRUE
"CLPX","CLPX",212,TRUE
"RAB11A","RAB11A",597,TRUE
"RPL4","RPL4",262,TRUE
"AAGAB","AAGAB",276,TRUE
"RPLP1","RPLP1",465,TRUE
"PKM","PKM",493,TRUE
"ARID3B","ARID3B",290,TRUE
"CSK","CSK",286,TRUE
"ULK3","ULK3",192,TRUE
"SCAMP2","SCAMP2",459,TRUE
"SCAMP5","SCAMP5",265,TRUE
"MAN2C1","MAN2C1",318,TRUE
"CTSH","CTSH",267,TRUE
"IL16","IL16",188,TRUE
"EFL1","EFL1",284,TRUE
"RPS17","RPS17",274,TRUE
"TM6SF1","TM6SF1",404,TRUE
"HDGFL3","HDGFL3",256,TRUE
"NGRN","NGRN",242,TRUE
"AC090825.1","AC090825.1",241,TRUE
"ADAMTS17","ADAMTS17",262,TRUE
"TM2D3","TM2D3",241,TRUE
"RHOT2","RHOT2",278,TRUE
"UBE2I","UBE2I",261,TRUE
"CLCN7","CLCN7",293,TRUE
"CRAMP1","CRAMP1",246,TRUE
"NME3","NME3",274,TRUE
"SPSB3","SPSB3",179,TRUE
"RPS2","RPS2",414,TRUE
"PKD1","PKD1",304,TRUE
"ATP6V0C","ATP6V0C",559,TRUE
"ELOB","ELOB",195,TRUE
"ZNF263","ZNF263",223,TRUE
"PMM2","PMM2",247,TRUE
"LITAF","LITAF",241,TRUE
"GSPT1","GSPT1",407,TRUE
"RPS15A","RPS15A",275,TRUE
"ARL6IP1","ARL6IP1",452,TRUE
"ACSM5","ACSM5",313,TRUE
"THUMPD1","THUMPD1",242,TRUE
"AC005632.3","AC005632.3",222,TRUE
"IGSF6","IGSF6",225,TRUE
"NFATC2IP","NFATC2IP",324,TRUE
"YPEL3","YPEL3",380,TRUE
"CORO1A","CORO1A",328,TRUE
"ITGAL","ITGAL",312,TRUE
"ZNF267","ZNF267",225,TRUE
"BRD7","BRD7",239,TRUE
"SALL1","SALL1",345,TRUE
"MT3","MT3",258,TRUE
"HERPUD1","HERPUD1",441,TRUE
"FAM192A","FAM192A",301,TRUE
"RSPRY1","RSPRY1",283,TRUE
"NDRG4","NDRG4",337,TRUE
"TK2","TK2",232,TRUE
"RIPOR1","RIPOR1",259,TRUE
"CYB5B","CYB5B",258,TRUE
"CMTR2","CMTR2",274,TRUE
"AC116667.1","AC116667.1",192,TRUE
"KIAA0513","KIAA0513",289,TRUE
"COX4I1","COX4I1",294,TRUE
"CYBA","CYBA",567,TRUE
"MVD","MVD",208,TRUE
"RNF166","RNF166",314,TRUE
"PIEZO1","PIEZO1",330,TRUE
"RPL13","RPL13",813,TRUE
"ZNF276","ZNF276",290,TRUE
"SGSM2","SGSM2",296,TRUE
"SPNS3","SPNS3",204,TRUE
"ARRB2","ARRB2",662,TRUE
"CXCL16","CXCL16",238,TRUE
"PFN1","PFN1",204,TRUE
"CAMTA2","CAMTA2",218,TRUE
"NUP88","NUP88",221,TRUE
"XAF1","XAF1",546,TRUE
"RNASEK","RNASEK",234,TRUE
"DLG4","DLG4",223,TRUE
"ACADVL","ACADVL",276,TRUE
"GABARAP","GABARAP",269,TRUE
"EIF4A1","EIF4A1",521,TRUE
"SAT2","SAT2",262,TRUE
"PER1","PER1",228,TRUE
"VAMP2","VAMP2",618,TRUE
"RPL26","RPL26",377,TRUE
"PIK3R6","PIK3R6",201,TRUE
"COX10","COX10",217,TRUE
"UBB","UBB",261,TRUE
"CCDC144A","CCDC144A",302,TRUE
"LGALS9","LGALS9",383,TRUE
"SUPT6H","SUPT6H",333,TRUE
"RPL23A","RPL23A",377,TRUE
"ABHD15-AS1","ABHD15-AS1",206,TRUE
"TEFM","TEFM",256,TRUE
"RNF135","RNF135",242,TRUE
"CDK5R1","CDK5R1",217,TRUE
"RPL23","RPL23",373,TRUE
"PLXDC1","PLXDC1",237,TRUE
"RPL19","RPL19",460,TRUE
"STARD3","STARD3",224,TRUE
"MSL1","MSL1",359,TRUE
"EIF1","EIF1",513,TRUE
"KAT2A","KAT2A",330,TRUE
"EZH1","EZH1",362,TRUE
"RPL27","RPL27",187,TRUE
"HDAC5","HDAC5",350,TRUE
"GRN","GRN",257,TRUE
"GFAP","GFAP",207,TRUE
"NMT1","NMT1",343,TRUE
"AC008105.3","AC008105.3",367,TRUE
"ARHGAP27","ARHGAP27",415,TRUE
"ARL17B","ARL17B",584,TRUE
"NSF","NSF",529,TRUE
"GOSR2","GOSR2",234,TRUE
"EFCAB13","EFCAB13",378,TRUE
"CDK5RAP3","CDK5RAP3",254,TRUE
"NFE2L1","NFE2L1",219,TRUE
"AC004797.1","AC004797.1",180,TRUE
"MMD","MMD",304,TRUE
"SRSF1","SRSF1",328,TRUE
"DYNLL2","DYNLL2",220,TRUE
"LIMD2","LIMD2",179,TRUE
"SNHG25","SNHG25",353,TRUE
"MILR1","MILR1",358,TRUE
"LRRC37A3","LRRC37A3",223,TRUE
"GNA13","GNA13",569,TRUE
"ARSG","ARSG",203,TRUE
"PRKAR1A","PRKAR1A",351,TRUE
"RPL38","RPL38",339,TRUE
"CD300A","CD300A",299,TRUE
"NT5C","NT5C",207,TRUE
"AC011933.4","AC011933.4",169,TRUE
"H3F3B","H3F3B",466,TRUE
"WBP2","WBP2",270,TRUE
"SRSF2","SRSF2",460,TRUE
"USP36","USP36",294,TRUE
"ENGASE","ENGASE",192,TRUE
"GAA","GAA",420,TRUE
"NPTX1","NPTX1",245,TRUE
"BAIAP2","BAIAP2",240,TRUE
"SLC38A10","SLC38A10",392,TRUE
"P4HB","P4HB",227,TRUE
"MAFG","MAFG",251,TRUE
"SLC16A3","SLC16A3",202,TRUE
"HEXD","HEXD",197,TRUE
"CYBC1","CYBC1",295,TRUE
"NARF","NARF",263,TRUE
"RALBP1","RALBP1",219,TRUE
"NAPG","NAPG",320,TRUE
"MPPE1","MPPE1",350,TRUE
"RNMT","RNMT",378,TRUE
"ESCO1","ESCO1",288,TRUE
"ABHD3","ABHD3",410,TRUE
"RIOK3","RIOK3",315,TRUE
"TTC39C","TTC39C",319,TRUE
"EPG5","EPG5",392,TRUE
"ATP5F1A","ATP5F1A",228,TRUE
"RPL17","RPL17",423,TRUE
"POLI","POLI",224,TRUE
"AC027097.2","AC027097.2",420,TRUE
"ATP8B1","ATP8B1",180,TRUE
"TMX3","TMX3",372,TRUE
"CCDC102B","CCDC102B",216,TRUE
"RTTN","RTTN",942,TRUE
"CBLN2","CBLN2",209,TRUE
"BSG","BSG",278,TRUE
"ARHGAP45","ARHGAP45",337,TRUE
"GPX4","GPX4",268,TRUE
"ATP5F1D","ATP5F1D",195,TRUE
"MIDN","MIDN",293,TRUE
"DAZAP1","DAZAP1",333,TRUE
"RPS15","RPS15",634,TRUE
"MBD3","MBD3",251,TRUE
"UQCR11","UQCR11",220,TRUE
"ABHD17A","ABHD17A",213,TRUE
"CSNK1G2","CSNK1G2",292,TRUE
"AP3D1","AP3D1",359,TRUE
"OAZ1","OAZ1",521,TRUE
"SPPL2B","SPPL2B",230,TRUE
"GNA15","GNA15",213,TRUE
"MFSD12","MFSD12",314,TRUE
"EEF2","EEF2",333,TRUE
"MAP2K2","MAP2K2",207,TRUE
"RPL36","RPL36",374,TRUE
"TUBB4A","TUBB4A",253,TRUE
"PNPLA6","PNPLA6",266,TRUE
"RPS28","RPS28",687,TRUE
"COL5A3","COL5A3",207,TRUE
"CDC37","CDC37",203,TRUE
"PDE4A","PDE4A",289,TRUE
"QTRT1","QTRT1",220,TRUE
"DOCK6","DOCK6",202,TRUE
"RGL3","RGL3",271,TRUE
"ZNF433-AS1","ZNF433-AS1",241,TRUE
"JUNB","JUNB",286,TRUE
"CALR","CALR",197,TRUE
"LYL1","LYL1",197,TRUE
"TRMT1","TRMT1",351,TRUE
"ZNF333","ZNF333",219,TRUE
"RASAL3","RASAL3",346,TRUE
"SIN3B","SIN3B",287,TRUE
"PLVAP","PLVAP",257,TRUE
"COLGALT1","COLGALT1",452,TRUE
"FCHO1","FCHO1",293,TRUE
"RPL18A","RPL18A",290,TRUE
"ARRDC2","ARRDC2",213,TRUE
"JUND","JUND",587,TRUE
"PGPEP1","PGPEP1",280,TRUE
"ELL","ELL",265,TRUE
"FKBP8","FKBP8",284,TRUE
"UBA52","UBA52",327,TRUE
"REX1BD","REX1BD",263,TRUE
"TMEM59L","TMEM59L",339,TRUE
"COPE","COPE",241,TRUE
"NDUFA13","NDUFA13",316,TRUE
"CEBPA","CEBPA",212,TRUE
"KIAA0355","KIAA0355",536,TRUE
"ZNF302","ZNF302",235,TRUE
"GRAMD1A","GRAMD1A",395,TRUE
"SCN1B","SCN1B",212,TRUE
"HAMP","HAMP",151,TRUE
"COX6B1","COX6B1",188,TRUE
"TYROBP","TYROBP",422,TRUE
"ZNF565","ZNF565",257,TRUE
"KCNK6","KCNK6",229,TRUE
"EIF3K","EIF3K",247,TRUE
"HNRNPL","HNRNPL",495,TRUE
"ZFP36","ZFP36",223,TRUE
"RPS16","RPS16",299,TRUE
"SUPT5H","SUPT5H",261,TRUE
"FCGBP","FCGBP",340,TRUE
"RAB4B","RAB4B",243,TRUE
"TMEM91","TMEM91",236,TRUE
"RPS19","RPS19",664,TRUE
"ARHGEF1","ARHGEF1",388,TRUE
"ATP1A3","ATP1A3",253,TRUE
"SMG9","SMG9",215,TRUE
"APOE","APOE",551,TRUE
"APOC2","APOC2",327,TRUE
"CLPTM1","CLPTM1",213,TRUE
"ERCC1","ERCC1",262,TRUE
"CALM3","CALM3",523,TRUE
"SELENOW","SELENOW",410,TRUE
"RPL18","RPL18",428,TRUE
"BAX","BAX",173,TRUE
"FTL","FTL",1139,TRUE
"CD37","CD37",303,TRUE
"SLC17A7","SLC17A7",402,TRUE
"RPL13A","RPL13A",660,TRUE
"RPS11","RPS11",395,TRUE
"PRR12","PRR12",261,TRUE
"IRF3","IRF3",245,TRUE
"SIGLEC11","SIGLEC11",194,TRUE
"SIGLEC10","SIGLEC10",250,TRUE
"SIGLEC8","SIGLEC8",328,TRUE
"PPP2R1A","PPP2R1A",315,TRUE
"ZNF611","ZNF611",306,TRUE
"ZNF160","ZNF160",267,TRUE
"ZNF331","ZNF331",381,TRUE
"CACNG8","CACNG8",205,TRUE
"RPS9","RPS9",404,TRUE
"LAIR1","LAIR1",355,TRUE
"LILRB1","LILRB1",221,TRUE
"LILRB4","LILRB4",329,TRUE
"PPP1R12C","PPP1R12C",210,TRUE
"PPP6R1","PPP6R1",229,TRUE
"BRSK1","BRSK1",240,TRUE
"RPL28","RPL28",644,TRUE
"MZF1","MZF1",231,TRUE
"RBCK1","RBCK1",210,TRUE
"PSMF1","PSMF1",308,TRUE
"FKBP1A","FKBP1A",279,TRUE
"NSFL1C","NSFL1C",223,TRUE
"AL109809.5","AL109809.5",223,TRUE
"PRNP","PRNP",594,TRUE
"SHLD1","SHLD1",425,TRUE
"SPTLC3","SPTLC3",402,TRUE
"ESF1","ESF1",324,TRUE
"DSTN","DSTN",218,TRUE
"SNX5","SNX5",233,TRUE
"ZNF133","ZNF133",245,TRUE
"SEC23B","SEC23B",228,TRUE
"NAA20","NAA20",381,TRUE
"NAPB","NAPB",390,TRUE
"CST3","CST3",502,TRUE
"APMAP","APMAP",616,TRUE
"ACSS1","ACSS1",395,TRUE
"ENTPD6","ENTPD6",287,TRUE
"CDK5RAP1","CDK5RAP1",250,TRUE
"CHMP4B","CHMP4B",284,TRUE
"MAP1LC3A","MAP1LC3A",212,TRUE
"NORAD","NORAD",475,TRUE
"TGIF2","TGIF2",428,TRUE
"CTNNBL1","CTNNBL1",402,TRUE
"SRSF6","SRSF6",231,TRUE
"SLC12A5","SLC12A5",211,TRUE
"CEBPB","CEBPB",425,TRUE
"ZNF217","ZNF217",244,TRUE
"RTF2","RTF2",299,TRUE
"CTSZ","CTSZ",391,TRUE
"ATP5F1E","ATP5F1E",357,TRUE
"PSMA7","PSMA7",183,TRUE
"SS18L1","SS18L1",200,TRUE
"RPS21","RPS21",256,TRUE
"OGFR","OGFR",226,TRUE
"ARFGAP1","ARFGAP1",258,TRUE
"KCNQ2","KCNQ2",227,TRUE
"EEF1A2","EEF1A2",226,TRUE
"TPD52L2","TPD52L2",214,TRUE
"AF127936.2","AF127936.2",252,TRUE
"AJ009632.2","AJ009632.2",244,TRUE
"CXADR","CXADR",438,TRUE
"LINC01684","LINC01684",224,TRUE
"ATP5PF","ATP5PF",193,TRUE
"CCT8","CCT8",230,TRUE
"GRIK1","GRIK1",377,TRUE
"SOD1","SOD1",205,TRUE
"TMEM50B","TMEM50B",259,TRUE
"ETS2","ETS2",547,TRUE
"HMGN1","HMGN1",375,TRUE
"MX1","MX1",251,TRUE
"C2CD2","C2CD2",262,TRUE
"ITGB2","ITGB2",339,TRUE
"COL18A1","COL18A1",249,TRUE
"ADA2","ADA2",347,TRUE
"BCL2L13","BCL2L13",358,TRUE
"UBE2L3","UBE2L3",338,TRUE
"CHCHD10","CHCHD10",204,TRUE
"MIF","MIF",249,TRUE
"MIAT","MIAT",330,TRUE
"HSCB","HSCB",217,TRUE
"UQCR10","UQCR10",184,TRUE
"ASCC2","ASCC2",279,TRUE
"LIMK2","LIMK2",218,TRUE
"GGA1","GGA1",307,TRUE
"SH3BP1","SH3BP1",219,TRUE
"EIF3L","EIF3L",245,TRUE
"NPTXR","NPTXR",262,TRUE
"RPL3","RPL3",478,TRUE
"SYNGR1","SYNGR1",282,TRUE
"ATF4","ATF4",250,TRUE
"ST13","ST13",258,TRUE
"XPNPEP3","XPNPEP3",234,TRUE
"RBX1","RBX1",366,TRUE
"RANGAP1","RANGAP1",265,TRUE
"SNU13","SNU13",187,TRUE
"WBP2NL","WBP2NL",362,TRUE
"PARVG","PARVG",314,TRUE
"CERK","CERK",306,TRUE
"AL118516.1","AL118516.1",144,TRUE
"TRABD","TRABD",227,TRUE
"SELENOO","SELENOO",319,TRUE
"PLXNB2","PLXNB2",301,TRUE
"TYMP","TYMP",197,TRUE
"CHKB","CHKB",233,TRUE
"IL3RA","IL3RA",267,TRUE
"SLC25A6","SLC25A6",204,TRUE
"CD99","CD99",390,TRUE
"STS","STS",213,TRUE
"AC079142.1","AC079142.1",318,TRUE
"ANOS1","ANOS1",558,TRUE
"TMSB4X","TMSB4X",1668,TRUE
"OFD1","OFD1",384,TRUE
"ZRSR2","ZRSR2",210,TRUE
"SMS","SMS",347,TRUE
"ACOT9","ACOT9",205,TRUE
"POLA1","POLA1",406,TRUE
"BCOR","BCOR",216,TRUE
"ATP6AP2","ATP6AP2",283,TRUE
"GPR34","GPR34",565,TRUE
"KRBOX4","KRBOX4",245,TRUE
"ZNF81","ZNF81",216,TRUE
"RBM3","RBM3",221,TRUE
"PCSK1N","PCSK1N",235,TRUE
"SYP","SYP",386,TRUE
"NBDY","NBDY",380,TRUE
"VSIG4","VSIG4",298,TRUE
"RPS4X","RPS4X",361,TRUE
"NEXMIF","NEXMIF",340,TRUE
"ABCB7","ABCB7",373,TRUE
"PGK1","PGK1",373,TRUE
"BTK","BTK",260,TRUE
"RPL36A","RPL36A",366,TRUE
"ARMCX3","ARMCX3",210,TRUE
"ARMCX5-GPRASP2","ARMCX5-GPRASP2",251,TRUE
"BEX1","BEX1",226,TRUE
"BEX4","BEX4",213,TRUE
"BEX3","BEX3",312,TRUE
"MORF4L2","MORF4L2",367,TRUE
"PLP1","PLP1",797,TRUE
"RBM41","RBM41",379,TRUE
"XACT","XACT",892,TRUE
"RPL39","RPL39",331,TRUE
"UPF3B","UPF3B",260,TRUE
"SMARCA1","SMARCA1",277,TRUE
"OCRL","OCRL",273,TRUE
"SASH3","SASH3",236,TRUE
"RAP2C-AS1","RAP2C-AS1",208,TRUE
"MBNL3","MBNL3",183,TRUE
"MIR503HG","MIR503HG",195,TRUE
"RTL8C","RTL8C",192,TRUE
"ZNF75D","ZNF75D",249,TRUE
"SLC9A6","SLC9A6",287,TRUE
"FMR1","FMR1",238,TRUE
"ARHGAP4","ARHGAP4",463,TRUE
"RPL10","RPL10",590,TRUE
"TAZ","TAZ",312,TRUE
"GDI1","GDI1",349,TRUE
"USP9Y","USP9Y",149,TRUE
"UTY","UTY",166,TRUE
"NLGN4Y","NLGN4Y",158,TRUE
"TTTY14","TTTY14",188,TRUE
"AL592183.1","AL592183.1",343,TRUE
